Person Name,Projekt Name,Projekt Link
Professor Dr. Alexander  Goesmann,Bioinformatische Methoden zur Analyse der mutualistischen RNA-Kommunikation,/gepris/projekt/447603908
Professor Dr. Alexander  Goesmann,Bioinformatische Workflows zur skalierbaren Analyse von pflanzlichen “Omics”-Daten in Cloud-Computing-Umgebungen,/gepris/projekt/456668568
Professor Dr. Alexander  Goesmann,Evolution von Gennetzwerken: Die Ranunculales als Modellordnung für evolutionäre Innovationen,/gepris/projekt/458957343
Professor Dr. Alexander  Goesmann,Core Unit - Genom Signaturen und integrierte Systembiologie der Pathogen-Wirts Interaktion,/gepris/projekt/319835486
Professor Dr. Alexander  Goesmann,"GRK 2355: Regulatorische Netzwerke im mRNA-Lebenszyklus:
von kodierenden zu nichtkodierenden RNAs",/gepris/projekt/325443116
Professor Dr. Alexander  Goesmann,GRK 1906: Informatische Methoden für die Analyse von Genomdiversität und -dynamik,/gepris/projekt/221270173
Professor Dr. Alexander  Goesmann,Bioinformatische Analyse genomweiter Datensätze,/gepris/projekt/183605059
Professor Dr. Alexander  Goesmann,"KFO 309: Virus-induced Lung Injury:
Pathobiology and Novel Therapeutic Strategies",/gepris/projekt/284237345
Professor Dr. Alexander  Goesmann,"NFDI4Biodiversität – Nationale Forschungsdateninfrastruktur für Biodiversitäts-, Ökologie- und Umweltdaten",/gepris/projekt/442032008
Professor Dr. Alexander  Goesmann,NFDI4Microbiota - Nationale Forschungsdateninfrastruktur für Mikrobiota-Forschung,/gepris/projekt/460129525
Professor Dr. Alexander  Goesmann,"Genom-weite Untersuchungen zur Artbildung unter sympatrischen Bedingungen in einem marinen Säuger: demographische Entwicklungsgeschichte, Populationsstruktur und lokale Anpassung im vom Aussterben bedrohten Galapagos Seelöwen",/gepris/projekt/255821879
Professor Dr. Alexander  Goesmann,Die Rolle von SOCS1 Mutationen bei der Pathogenese von Hodgkin Lymphomen und Diffus großzelligen B-Zell Lymphomen,/gepris/projekt/507302435
Professor Dr. Alexander  Goesmann,Nukleosom-Präservierung in Säugetier-Spermien: ein epigenetisches Programm zur Wahrung der gesunden männlichen Reproduktion,/gepris/projekt/270041755
Professor Dr. Alexander  Goesmann,Untersuchung der Mechanismen für die Stabilität von mcr-1-kodierenden IncX4-Mechanismen,/gepris/projekt/491261247
