Person Name,Projekt Name,Projekt Link
Professor Dr. Thomas  Clavel,Ökologie und Funktionen kleiner SCIFF-Proteine im Darmmikrobiom,/gepris/projekt/453182863
Professor Dr. Thomas  Clavel,Kausale Rolle des Gallensäuremetabolismus durch das Mikrobiom bei Dickdarmkrebs,/gepris/projekt/453229399
Professor Dr. Thomas  Clavel,Personalisierte Wirkung von Antibiotika auf das Darmmikrobiom mittels Hoch-Durchsatz Kultivierung,/gepris/projekt/513892404
Professor Dr. Thomas  Clavel,Funktionen und metabolische Adaptation von dominanten Darmbakterien der Familie Coriobacteriaceae im Kontext des Lipidmetabolismus des Wirtes,/gepris/projekt/242504939
Professor Dr. Thomas  Clavel,"- MIMIC -
Komplementäre Nutzung von innovativen kulturbasierten und molekularen Methoden zur Herstellung von Minimalen Mikrobiellen Konsortien",/gepris/projekt/316102599
Professor Dr. Thomas  Clavel,Funktionelle Analyse der Mikrobiom-Wirt Interaktion während des postnatalen „window of opportunity“ mithilfe eines mehrdimensionalen Sequenzieransatzes,/gepris/projekt/418004173
Professor Dr. Thomas  Clavel,Plattform zur automatisierten Isolierung und Charakterisierung von anaeroben Bakterien,/gepris/projekt/445552570
Professor Dr. Thomas  Clavel,Perinatale Interaktionen zwischen Mikrobiom und intestinalen Makrophagen bei der Kontrolle mukosaler Pathogene,/gepris/projekt/516780480
Professor Dr. Thomas  Clavel,Gezieltes Design und Manipulation bakterieller Minimalkonsortien zum gezielten Austausch in Mikrobiomen,/gepris/projekt/418598556
Professor Dr. Thomas  Clavel,Gnotobiotische Mausmodelle und minimale bakterielle Konsortien,/gepris/projekt/418603037
Professor Dr. Thomas  Clavel,Effekte des mikrobiellen Lipidstoffwechsels auf die Darm-Leber Achse,/gepris/projekt/424650015
Professor Dr. Thomas  Clavel,Funktionelle Mikrobiom-Analyse,/gepris/projekt/424795268
Professor Dr. Thomas  Clavel,NFDI4Microbiota - Nationale Forschungsdateninfrastruktur für Mikrobiota-Forschung,/gepris/projekt/460129525
